"Date","Price","Open","High","Low","Vol.","Change %"
"26-05-2025","1,400.20","1,395.80","1,410.60","1,394.80","1.02M","0.34%"
"23-05-2025","1,395.40","1,383.10","1,398.50","1,375.00","1.72M","1.75%"
"22-05-2025","1,371.40","1,380.10","1,408.00","1,358.60","3.19M","-0.95%"
"21-05-2025","1,384.60","1,380.00","1,391.00","1,370.20","1.99M","0.00%"
"20-05-2025","1,384.60","1,399.00","1,407.30","1,381.40","2.97M","-0.98%"
"19-05-2025","1,398.30","1,407.50","1,410.60","1,392.00","1.32M","-0.65%"
"16-05-2025","1,407.40","1,410.90","1,424.90","1,401.00","2.78M","0.09%"
"15-05-2025","1,406.20","1,375.60","1,409.90","1,371.90","3.71M","2.51%"
"14-05-2025","1,371.80","1,380.00","1,381.90","1,362.00","1.56M","0.19%"
"13-05-2025","1,369.20","1,360.60","1,391.90","1,347.10","3.36M","0.52%"
"12-05-2025","1,362.10","1,360.00","1,375.00","1,345.50","3.66M","4.27%"
"09-05-2025","1,306.30","1,300.00","1,324.90","1,292.60","2.98M","-2.01%"
"08-05-2025","1,333.10","1,340.00","1,366.90","1,316.40","5.08M","-0.38%"
"07-05-2025","1,338.20","1,298.80","1,341.30","1,298.70","3.27M","1.32%"
"06-05-2025","1,320.80","1,350.00","1,356.30","1,315.00","3.60M","-1.95%"
"05-05-2025","1,347.10","1,290.00","1,377.00","1,285.70","14.19M","6.31%"
"02-05-2025","1,267.10","1,255.00","1,295.00","1,242.70","12.02M","4.16%"
"30-04-2025","1,216.50","1,215.10","1,226.50","1,203.90","1.82M","0.01%"
"29-04-2025","1,216.40","1,212.00","1,223.90","1,202.50","2.38M","0.54%"
"28-04-2025","1,209.90","1,188.10","1,214.70","1,184.10","2.65M","1.42%"
"25-04-2025","1,193.00","1,236.30","1,243.40","1,181.20","3.63M","-3.51%"
"24-04-2025","1,236.40","1,238.00","1,248.00","1,231.60","2.13M","-0.22%"
"23-04-2025","1,239.10","1,240.10","1,242.80","1,216.80","2.58M","0.48%"
"22-04-2025","1,233.20","1,249.60","1,255.60","1,227.00","2.93M","-0.80%"
"21-04-2025","1,243.10","1,259.40","1,260.00","1,209.40","6.05M","-1.29%"
"17-04-2025","1,259.40","1,232.90","1,282.50","1,218.60","4.28M","2.15%"
"16-04-2025","1,232.90","1,210.00","1,235.50","1,201.60","1.91M","1.83%"
"15-04-2025","1,210.80","1,200.00","1,225.90","1,179.00","3.18M","3.97%"
"11-04-2025","1,164.55","1,163.00","1,170.30","1,148.00","3.54M","2.89%"
"09-04-2025","1,131.80","1,133.85","1,135.60","1,112.00","1.54M","0.04%"
"08-04-2025","1,131.35","1,135.00","1,155.65","1,111.05","2.42M","1.86%"
"07-04-2025","1,110.65","1,049.95","1,119.00","1,041.50","2.19M","-3.28%"
"04-04-2025","1,148.35","1,196.00","1,200.10","1,143.00","1.79M","-4.30%"
"03-04-2025","1,199.90","1,170.25","1,205.80","1,170.25","1.30M","0.37%"
"02-04-2025","1,195.45","1,182.40","1,198.95","1,167.35","1.23M","1.76%"
"01-04-2025","1,174.75","1,179.00","1,202.00","1,168.05","1.58M","-0.69%"
"28-03-2025","1,182.95","1,197.70","1,205.00","1,175.20","1.67M","-1.15%"
"27-03-2025","1,196.75","1,182.00","1,212.00","1,175.00","2.00M","1.28%"
"26-03-2025","1,181.60","1,183.00","1,202.20","1,173.05","1.68M","-0.07%"
"25-03-2025","1,182.45","1,205.00","1,209.10","1,174.55","2.09M","-1.53%"
"24-03-2025","1,200.80","1,196.00","1,210.85","1,186.05","2.14M","1.01%"
"21-03-2025","1,188.80","1,182.00","1,202.55","1,172.05","3.13M","0.96%"
"20-03-2025","1,177.45","1,185.00","1,186.95","1,161.20","1.92M","0.34%"
"19-03-2025","1,173.50","1,160.00","1,184.50","1,158.80","2.42M","1.27%"
"18-03-2025","1,158.80","1,149.90","1,161.00","1,137.95","1.87M","1.90%"
"17-03-2025","1,137.15","1,114.80","1,148.55","1,111.20","1.49M","1.60%"
"13-03-2025","1,119.20","1,135.00","1,139.45","1,115.05","1.36M","-0.81%"
"12-03-2025","1,128.30","1,139.00","1,155.15","1,105.00","2.84M","-0.59%"
"11-03-2025","1,135.00","1,137.30","1,145.90","1,124.40","2.40M","-0.69%"
"10-03-2025","1,142.90","1,146.00","1,168.65","1,136.95","2.43M","-0.14%"
"07-03-2025","1,144.50","1,136.20","1,156.95","1,134.10","2.21M","0.73%"
"06-03-2025","1,136.20","1,118.20","1,148.75","1,101.85","4.02M","2.11%"
"05-03-2025","1,112.70","1,056.80","1,118.65","1,055.00","3.79M","5.18%"
"04-03-2025","1,057.95","1,047.95","1,063.00","1,036.50","1.79M","0.47%"
"03-03-2025","1,053.05","1,074.95","1,081.00","1,040.60","2.27M","-1.53%"
"28-02-2025","1,069.40","1,074.00","1,082.90","1,059.20","2.85M","-0.89%"
"27-02-2025","1,078.95","1,083.00","1,087.95","1,069.10","1.82M","-0.13%"
